student_id,date,grade,subject,paper,year,session,url
36c47276-3a75-4688-b200-f93ad6fe89f7,10-06-25,EGCSE,Literature in English,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,11-06-25,EGCSE,Mathematics,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,12-06-25,EGCSE,Religious Education,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,15-06-25,EGCSE,Siswati as a Second Language,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,16-06-25,IGCSE,Biology,Paper 1,2023,June,https://pastpapers.co/cie/IGCSE/Biology-0970-UK/2023-May-June/0970_s23_qp_12.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,17-06-25,IGCSE,English Language,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_11.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,17-06-25,IGCSE,English Language,Paper 1 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_11.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,18-06-25,EGCSE,First Language SiSwati,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,19-06-25,IGCSE,Geography,Paper 1,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_11.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,19-06-25,IGCSE,Geography,Paper 1 - Insert,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_11.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,22-06-25,EGCSE,History,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,23-06-25,IGCSE,Literature in English,Paper 1,2022,June,https://pastpapers.co/cie/IGCSE/English-Literature-0475/2022-May-June/0475_s22_qp_13.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,24-06-25,IGCSE,Mathematics,Paper 1,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_11.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,25-06-25,EGCSE,Religious Education,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,26-06-25,EGCSE,Siswati as a Second Language,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,29-06-25,EGCSE,Biology,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,30-06-25,EGCSE,English Language,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,01-07-25,EGCSE,First Language SiSwati,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 3.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,02-07-25,EGCSE,Geography,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,03-07-25,EGCSE,History,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 3.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,06-07-25,EGCSE,Literature in English,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,07-07-25,EGCSE,Mathematics,Paper 2,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Mathematics 2024 Question Paper 2.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,08-07-25,EGCSE,Religious Education,Paper 1,2023,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2023 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,09-07-25,EGCSE,Siswati as a Second Language,Paper 3,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2024 Question Paper 3.pdf
